predicted_index,predicted_label,predicted_voxels,best_gt_instance_id,best_gt_label,best_voxel_iou,purity_at_best_iou,coverage_at_best_iou,maximum_purity,overlap_gt_count,overlap_gt_count_purity_0p01,overlap_gt_count_purity_0p05
0,tv,383,66,tv-screen,0.3070539419087137,0.38642297650130547,0.5991902834008097,0.7754569190600522,12,12,7
1,coffee table,125,51,wall,0.08131241084165478,0.456,0.09004739336492891,0.456,1,1,1
2,power outlet,2,61,chair,0.0012135922330097086,0.5,0.001215066828675577,1.0,4,4,4
3,closet door,397,10,ceiling,0.18796592119275826,0.889168765743073,0.19247546346782987,0.889168765743073,8,8,6
4,chair,98,35,panel,0.20202020202020202,0.20408163265306123,0.9523809523809523,0.20408163265306123,5,5,4
5,picture,431,14,undefined,0.2909090909090909,0.29698375870069604,0.9343065693430657,0.9373549883990719,12,12,6
6,storage bin,60,5,rug,0.045941807044410414,1.0,0.045941807044410414,1.0,1,1,1
7,stuffed animal,137,63,floor,0.14163090128755365,0.24087591240875914,0.2558139534883721,0.35036496350364965,4,4,3
8,potted plant,25,,,0.0,0.0,0.0,0.0,0,0,0
9,power outlet,9,0,unknown,0.017408123791102514,1.0,0.017408123791102514,1.0,2,2,2
10,mat,46,24,wall,0.030146425495262703,0.7608695652173914,0.030434782608695653,1.0,4,4,2
11,potted plant,18,4,chair,0.006389776357827476,0.8888888888888888,0.006394884092725819,0.8888888888888888,2,2,2
12,potted plant,316,44,desk-organizer,0.32671081677704195,0.46835443037974683,0.519298245614035,0.7816455696202531,3,3,2
13,sofa chair,635,7,sofa,0.23673469387755103,0.2740157480314961,0.635036496350365,0.7244094488188977,10,10,9
14,power outlet,4,,,0.0,0.0,0.0,0.0,0,0,0
15,paper bag,64,,,0.0,0.0,0.0,0.0,0,0,0
16,power outlet,27,,,0.0,0.0,0.0,0.0,0,0,0
17,tissue box,56,,,0.0,0.0,0.0,0.0,0,0,0
18,floor,429,0,unknown,0.14251207729468598,0.27505827505827507,0.22823984526112184,0.27505827505827507,8,6,4
19,book,24,51,wall,0.001524390243902439,0.041666666666666664,0.001579778830963665,0.041666666666666664,1,1,0
20,window,421,9,sofa,0.22104144527098832,0.49406175771971494,0.2857142857142857,0.5391923990498813,5,5,4
21,power outlet,2,7,sofa,0.0072992700729927005,1.0,0.0072992700729927005,1.0,2,2,2
22,person,34,10,ceiling,0.017983651226158037,0.9705882352941176,0.017993456924754635,1.0,3,3,3
23,pillow,28,9,sofa,0.038461538461538464,1.0,0.038461538461538464,1.0,4,4,4
24,person,10,9,sofa,0.013736263736263736,1.0,0.013736263736263736,1.0,4,4,4
25,speaker,16,17,vent,0.2711864406779661,1.0,0.2711864406779661,1.0,3,3,3
26,ceiling,612,24,wall,0.13093709884467267,0.3333333333333333,0.17739130434782607,0.4362745098039216,11,9,6
27,sofa chair,1695,5,rug,0.13588190764572294,0.21179941002949854,0.27488514548238896,0.2943952802359882,18,12,8
