gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,chair,73,543,2,,
1,3,chair,56,381,2,,
2,4,screen,42,5968,1,,
3,6,window,1,30599,4,,
4,12,chair,46,987,3,,
5,13,chair,40,2398,2,,
6,15,chair,2,658,2,,
7,17,chair,54,896,23,,
8,19,chair,62,607,2,,
9,20,chair,64,897,9,,
10,31,chair,8,1131,7,,
11,34,clock,47,224,1,,
12,48,lamp,68,2235,4,,
13,49,table,27,647,1,,
14,51,bench,10,3924,2,,
15,52,bench,60,3072,2,,
16,60,door,-1,0,,,
17,61,lamp,5,1677,5,,
18,65,lamp,72,857,7,,
19,69,chair,22,2884,2,,
20,70,window,-1,0,,,
21,71,lamp,28,1878,5,,
