predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,tv,2,24,wall,504,1421,4210,0.35467980295566504,0.11971496437054632,0.09830310122878877,0.07458048477315103,0.6731737005937799,False,False
0,tv,14,30,anonymize_picture,299,1421,317,0.21041520056298382,0.943217665615142,0.2077831827658096,0.10504201680672269,0.5580169608216295,False,False
0,tv,19,57,clock,46,1421,49,0.03237156931738212,0.9387755102040817,0.032303370786516857,0.013071895424836602,1.1148663378474353,True,False
0,tv,20,66,tv-screen,461,1421,779,0.32441942294159043,0.5917843388960206,0.2650948821161587,0.3203285420944558,0.6767038034699477,True,True
0,tv,21,4,chair,1053,1421,9128,0.741027445460943,0.11535933391761613,0.11088879528222409,0.02164882811315606,2.0045122678211515,True,False
0,tv,22,3,anonymize_picture,95,1421,439,0.06685432793807178,0.2164009111617312,0.053824362606232294,0.03752626838787151,1.0437296978436705,False,False
0,tv,23,5,rug,258,1421,4532,0.18156228008444758,0.05692850838481906,0.04530289727831431,0.036446341719444345,1.5236575782385393,False,False
0,tv,25,12,table,438,1421,525,0.30823363828289935,0.8342857142857143,0.29045092838196285,0.32540437678401524,0.2690617589970297,True,False
0,tv,28,11,camera,27,1421,29,0.019000703729767768,0.9310344827586207,0.018973998594518624,0.006535947712418301,0.9491320191525079,False,False
0,tv,29,25,wall-plug,20,1421,20,0.014074595355383532,1.0,0.014074595355383532,0.002334267040149393,0.4971319936242233,False,False
0,tv,30,31,wall-plug,14,1421,14,0.009852216748768473,1.0,0.009852216748768473,0.0018674136321195146,0.3739229207768111,False,False
0,tv,31,45,wall-plug,12,1421,12,0.00844475721323012,1.0,0.00844475721323012,0.0014005602240896359,0.31222877188917275,False,False
1,coffee table,18,51,wall,207,423,2133,0.48936170212765956,0.0970464135021097,0.08812260536398467,0.0830130668716372,0.5131895378074203,False,False
2,power outlet,3,61,chair,1,11,2830,0.09090909090909091,0.00035335689045936394,0.00035211267605633805,0.00022977941176470588,1.0200910170512232,True,False
2,power outlet,4,10,ceiling,11,11,6935,1.0,0.0015861571737563085,0.0015861571737563085,0.00012743723716069835,1.0416466750702256,False,False
