gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,3,pillow,37,491,1,,
1,4,basket,21,1051,1,,
2,6,door,0,5852,1,,
3,7,pillow,45,630,2,,
4,9,pillow,-1,0,,,
5,13,pillow,36,381,1,,
6,15,curtain,30,4790,2,,
7,17,book,-1,0,,,
8,18,pillow,44,1160,2,,
9,19,book,15,65,1,,
10,22,lamp,8,1150,14,,
11,23,curtain,19,6327,3,,
12,26,window,-1,0,,,
13,27,curtain,13,4626,3,,
14,29,window,-1,0,,,
15,32,bed,47,3663,1,,
16,35,book,-1,0,,,
17,36,cabinet,16,3940,1,,
18,37,window,-1,0,,,
19,39,pillow,38,650,1,,
20,40,lamp,58,1593,6,,
21,42,plate,-1,0,,,
22,43,lamp,50,1471,5,,
23,45,lamp,39,812,1,,
24,48,pillow,-1,0,,,
25,51,vase,-1,0,,,
26,52,lamp,48,925,1,,
27,53,lamp,1,1554,15,,
28,54,plant,11,849,2,,
29,55,window,-1,0,,,
