gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,8,bench,-1,0,,,
1,9,chair,43,2088,3,,
2,10,chair,49,3806,2,,
3,12,cabinet,7,19720,3,,
4,14,chair,6,75019,5,,
5,15,table,8,19860,2,,
6,16,chair,34,4518,2,,
7,20,table,-1,0,,,
8,22,pillow,0,2968,1,,
9,25,chair,19,9555,2,,
10,27,chair,45,12456,3,,
11,29,lamp,-1,0,,,
12,32,lamp,-1,0,,,
13,33,lamp,-1,0,,,
14,36,window,11,8779,13,,
15,37,chair,-1,0,,,
16,39,curtain,-1,0,,,
17,42,window,55,344,4,,
18,51,table,31,28626,5,,
19,54,pillow,20,2988,1,,
20,55,bench,-1,0,,,
21,56,door,-1,0,,,
22,61,pillow,2,4057,1,,
23,72,chair,23,1113,7,,
24,76,chair,42,2564,2,,
25,82,window,15,10522,7,,
26,83,pillow,3,3039,1,,
27,85,lamp,-1,0,,,
28,86,lamp,-1,0,,,
29,91,box,-1,0,,,
30,92,bottle,-1,0,,,
31,94,bottle,-1,0,,,
32,97,curtain,17,3206,2,,
33,98,chair,21,9661,2,,
34,100,chair,28,8888,3,,
35,101,clock,1,1113,1,,
36,102,lamp,-1,0,,,
37,103,curtain,18,5035,8,,
38,105,window,26,1981,5,,
39,108,window,13,1258,3,,
40,111,curtain,-1,0,,,
41,112,curtain,-1,0,,,
