gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,3,window,-1,0,,,
1,4,door,5,9815,1,,
2,8,screen,37,12207,1,,
3,9,clock,-1,0,,,
4,14,lamp,-1,0,,,
5,17,pillow,31,3902,1,,
6,23,pillow,36,3429,1,,
7,32,chair,7,2567,5,,
8,38,table,11,2423,3,,
9,41,chair,0,4570,3,,
10,43,table,34,14695,2,,
11,44,chair,32,72999,6,,
12,51,chair,-1,0,,,
13,58,chair,-1,0,,,
14,65,chair,-1,0,,,
15,68,lamp,-1,0,,,
16,70,lamp,-1,0,,,
17,72,lamp,-1,0,,,
18,75,table,3,14082,2,,
19,76,bottle,-1,0,,,
20,77,lamp,-1,0,,,
21,80,chair,1,6435,3,,
22,84,pillow,30,4077,1,,
23,85,pillow,-1,0,,,
24,86,pillow,14,2717,1,,
25,89,bottle,-1,0,,,
26,90,chair,4,8990,2,,
27,92,lamp,-1,0,,,
28,93,chair,2,4786,2,,
