gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,3,window,-1,0,,,
1,4,door,13,2747,2,,
2,8,screen,30,2483,1,,
3,9,clock,-1,0,,,
4,14,lamp,72,1507,6,,
5,17,pillow,48,739,1,,
6,23,pillow,59,668,1,,
7,32,chair,7,469,5,,
8,38,table,17,335,1,,
9,41,chair,8,908,3,,
10,43,table,45,3392,1,,
11,44,chair,78,12776,5,,
12,51,chair,56,714,2,,
13,58,chair,35,1659,3,,
14,65,chair,57,617,2,,
15,68,lamp,14,1824,7,,
16,70,lamp,23,1759,10,,
17,72,lamp,26,580,27,,
18,75,table,20,3979,3,,
19,76,bottle,16,74,8,,
20,77,lamp,73,1802,16,,
21,80,chair,36,461,2,,
22,84,pillow,44,689,1,,
23,85,pillow,43,338,1,,
24,86,pillow,21,655,1,,
25,89,bottle,-1,0,,,
26,90,chair,5,2100,2,,
27,92,lamp,31,314,27,,
28,93,chair,6,1090,2,,
