gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,box,-1,0,,,
1,3,chair,25,3733,2,,
2,4,shelf,0,25801,1,,
3,5,table,18,20817,1,,
4,6,chair,20,4983,2,,
5,7,chair,28,5164,2,,
6,9,chair,4,5909,2,,
7,10,window,-1,0,,,
8,11,chair,29,5903,2,,
9,12,chair,22,4260,2,,
10,13,chair,23,3437,2,,
11,14,vase,30,1755,4,,
12,17,vase,12,1294,21,,
13,18,plate,21,3261,19,,
14,19,curtain,-1,0,,,
15,22,box,-1,0,,,
16,24,box,-1,0,,,
17,26,bottle,5,408,39,,
18,27,vase,-1,0,,,
19,28,box,-1,0,,,
20,29,curtain,-1,0,,,
21,31,plate,3,1138,1,,
22,32,curtain,-1,0,,,
23,35,box,11,1351,42,,
24,36,lamp,-1,0,,,
25,38,curtain,-1,0,,,
26,39,lamp,-1,0,,,
27,40,vase,15,1039,2,,
28,44,lamp,-1,0,,,
29,46,vase,-1,0,,,
30,47,plant,-1,0,,,
31,48,chair,33,4122,2,,
32,50,window,-1,0,,,
33,51,bowl,19,1078,5,,
34,52,curtain,-1,0,,,
35,54,door,8,20296,1,,
36,55,lamp,-1,0,,,
37,56,plant,-1,0,,,
38,57,curtain,-1,0,,,
39,60,window,-1,0,,,
