predicted_index,predicted_label,gt_index,gt_instance_id,gt_label,intersection_voxels,predicted_voxels,gt_voxels,purity,coverage,voxel_iou,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,tv,2,24,wall,143,383,1150,0.3733681462140992,0.12434782608695652,0.10287769784172662,0.08796704913209767,0.6675268425835872,False,False
0,tv,14,30,anonymize_picture,82,383,86,0.21409921671018275,0.9534883720930233,0.21188630490956073,0.1301775147928994,0.570835650407415,False,False
0,tv,19,57,clock,16,383,17,0.04177545691906005,0.9411764705882353,0.041666666666666664,0.023668639053254437,1.1271769311962645,True,False
0,tv,20,66,tv-screen,148,383,247,0.38642297650130547,0.5991902834008097,0.3070539419087137,0.3611111111111111,0.6888818626067458,True,True
0,tv,21,4,chair,297,383,2502,0.7754569190600522,0.11870503597122302,0.11476043276661514,0.025606060606060604,1.939381470151467,True,False
0,tv,22,3,anonymize_picture,25,383,117,0.06527415143603134,0.21367521367521367,0.05263157894736842,0.04591836734693878,1.0735929767906771,False,False
0,tv,23,5,rug,88,383,1306,0.2297650130548303,0.06738131699846861,0.05496564647095565,0.043789473684210524,1.499848605986032,False,False
0,tv,25,12,table,122,383,146,0.3185378590078329,0.8356164383561644,0.29975429975429974,0.2713178294573643,0.2955878166700874,True,False
0,tv,28,11,camera,10,383,10,0.02610966057441253,1.0,0.02610966057441253,0.011834319526627219,0.9493513059770617,False,False
0,tv,29,25,wall-plug,9,383,9,0.02349869451697128,1.0,0.02349869451697128,0.006656804733727811,0.5037522561544696,False,False
0,tv,30,31,wall-plug,6,383,6,0.015665796344647518,1.0,0.015665796344647518,0.004437869822485207,0.3909218085306779,False,False
0,tv,31,45,wall-plug,6,383,6,0.015665796344647518,1.0,0.015665796344647518,0.004437869822485207,0.33244880847184227,False,False
1,coffee table,18,51,wall,57,125,633,0.456,0.09004739336492891,0.08131241084165478,0.09036144578313253,0.5225301454043633,False,False
2,power outlet,3,61,chair,1,2,823,0.5,0.001215066828675577,0.0012135922330097086,0.00020406081012141618,1.0317389894861546,True,False
2,power outlet,4,10,ceiling,2,2,1834,1.0,0.0010905125408942203,0.0010905125408942203,0.00011695906432748539,1.0415373811368853,False,False
2,power outlet,21,4,chair,2,2,2502,1.0,0.0007993605115907274,0.0007993605115907274,3.787878787878788e-05,0.996293762059506,True,False
2,power outlet,34,58,table,2,2,1954,1.0,0.0010235414534288639,0.0010235414534288639,4.5222267444489665e-05,2.055483208443556,True,False
3,closet door,3,61,chair,52,397,823,0.1309823677581864,0.06318347509113001,0.04452054794520548,0.030901287553648068,1.6053436124130602,True,False
3,closet door,4,10,ceiling,353,397,1834,0.889168765743073,0.19247546346782987,0.18796592119275826,0.05894736842105263,1.016396976697983,False,False
3,closet door,5,14,undefined,5,397,137,0.012594458438287154,0.0364963503649635,0.00945179584120983,0.018518518518518517,1.1176317913862506,False,False
3,closet door,6,21,lamp,64,397,69,0.16120906801007556,0.927536231884058,0.15920398009950248,0.11904761904761904,0.517752996524018,True,False
3,closet door,21,4,chair,278,397,2502,0.7002518891687658,0.1111111111111111,0.10606638687523846,0.019090909090909092,1.3098481115781335,True,False
3,closet door,33,17,vent,35,397,59,0.08816120906801007,0.5932203389830508,0.0831353919239905,0.06097560975609756,0.7623287760399037,False,False
3,closet door,34,58,table,151,397,1954,0.380352644836272,0.07727737973387923,0.06863636363636363,0.013306451612903225,2.5939853852846957,True,False
