gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,4,chair,8,7761,2,,
1,7,chair,1,31655,5,,
2,9,chair,21,37342,3,,
3,12,table,18,3645,6,,
4,15,curtain,-1,0,,,
5,16,door,33,520,35,,
6,20,curtain,-1,0,,,
7,21,lamp,-1,0,,,
8,22,plant,16,1085,3,,
9,23,stand,12,3294,78,,
10,37,lamp,-1,0,,,
11,57,clock,10,536,1,,
12,58,table,5,8762,2,,
13,61,chair,3,6915,2,,
14,66,screen,4,20641,1,,
