scene_id,scale,variant,predicted_objects,gt_instances,positive_overlap_pairs,object_precision_iou0p25,object_recall_iou0p25,object_f1_iou0p25,mean_maximum_purity,median_maximum_purity,mean_maximum_coverage,median_maximum_coverage,semantic_accuracy_hungarian_positive,semantic_correct,semantic_denominator,wall_seconds,max_rss_kb
room0,voxel0p025,baseline,72,91,270,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.7655122655122655,0.3909500590459881,0.3169529607885772,0.125,3,24,19.69,9546636
room0,voxel0p025,semantic,72,91,270,0.1111111111111111,0.08791208791208792,0.09815950920245399,0.6561278411549186,0.7655122655122655,0.3909500590459881,0.3169529607885772,0.20833333333333334,5,24,19.92,9545964
room0,voxel0p025,spurious,71,91,270,0.11267605633802817,0.08791208791208792,0.09876543209876543,0.6653690783542837,0.7777777777777778,0.3909500590459881,0.3169529607885772,0.125,3,24,19.31,9548544
room0,voxel0p025,geometry,73,91,285,0.1232876712328767,0.0989010989010989,0.10975609756097561,0.6608384186733444,0.7777777777777778,0.43443917453619363,0.41493423843869326,0.16,4,25,19.96,9550576
room0,voxel0p025,association,65,91,268,0.12307692307692308,0.08791208791208792,0.10256410256410256,0.7063326278906445,0.7848101265822784,0.3915644048865417,0.3169529607885772,0.125,3,24,19.45,9549520
room0,voxel0p025,combined,65,91,283,0.13846153846153847,0.0989010989010989,0.11538461538461539,0.72171724327526,0.8,0.43505352037674727,0.41493423843869326,0.24,6,25,19.86,9550092
room0,voxel0p05,baseline,72,91,285,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.8312891301096177,0.4299832397143611,0.3285198555956679,0.125,3,24,18.25,9506984
room0,voxel0p05,semantic,72,91,285,0.125,0.0989010989010989,0.11042944785276074,0.7180991968419969,0.8312891301096177,0.4299832397143611,0.3285198555956679,0.20833333333333334,5,24,19.04,9507180
room0,voxel0p05,spurious,71,91,285,0.1267605633802817,0.0989010989010989,0.1111111111111111,0.7282132700369546,0.8323895809739524,0.4299832397143611,0.3285198555956679,0.125,3,24,19.11,9507480
room0,voxel0p05,geometry,73,91,300,0.136986301369863,0.10989010989010989,0.12195121951219512,0.7219608516797776,0.8323895809739524,0.4760990328005536,0.4367469879518072,0.16,4,25,19.31,9508764
room0,voxel0p05,association,65,91,284,0.15384615384615385,0.10989010989010989,0.1282051282051282,0.7698526783124856,0.8695652173913043,0.43070516641521317,0.3285198555956679,0.125,3,24,18.74,9509012
room0,voxel0p05,combined,65,91,299,0.16923076923076924,0.12087912087912088,0.14102564102564102,0.7852372936971009,0.8870967741935484,0.47682095950140574,0.4367469879518072,0.24,6,25,17.73,9506120
room0,voxel0p10,baseline,72,91,298,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.9044444444444444,0.452079604790914,0.3932926829268293,0.125,3,24,19.39,9496644
room0,voxel0p10,semantic,72,91,298,0.18055555555555555,0.14285714285714285,0.15950920245398773,0.7537232909272749,0.9044444444444444,0.452079604790914,0.3932926829268293,0.20833333333333334,5,24,18.15,9499500
room0,voxel0p10,spurious,71,91,298,0.18309859154929578,0.14285714285714285,0.16049382716049382,0.7643391119262506,0.92,0.452079604790914,0.3932926829268293,0.125,3,24,19.09,9497676
room0,voxel0p10,geometry,73,91,313,0.1917808219178082,0.15384615384615385,0.17073170731707318,0.7570969444762163,0.92,0.4993423770972403,0.4909090909090909,0.16,4,25,18.02,9497884
room0,voxel0p10,association,65,91,297,0.2153846153846154,0.15384615384615385,0.1794871794871795,0.8067068414577386,0.9333333333333333,0.4528917967142171,0.3932926829268293,0.125,3,24,18.06,9498204
room0,voxel0p10,combined,65,91,312,0.23076923076923078,0.16483516483516483,0.19230769230769232,0.8220914568423542,0.9473684210526315,0.5001545690205433,0.4909090909090909,0.24,6,25,18.46,9495068
office0,voxel0p025,baseline,35,52,128,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.64066085360257,0.5156931803477698,0.48004007804672255,0.14285714285714285,1,7,8.81,4201268
office0,voxel0p025,semantic,35,52,128,0.05714285714285714,0.038461538461538464,0.04597701149425287,0.5564353960705667,0.64066085360257,0.5156931803477698,0.48004007804672255,0.14285714285714285,1,7,9.8,4199940
office0,voxel0p025,spurious,33,52,128,0.06060606060606061,0.038461538461538464,0.047058823529411764,0.5901587534081768,0.7051378919531545,0.5156931803477698,0.48004007804672255,0.14285714285714285,1,7,8.87,4198360
office0,voxel0p025,geometry,37,52,145,0.10810810810810811,0.07692307692307693,0.0898876404494382,0.5804118611478334,0.7051378919531545,0.587356385864867,0.6052376266823218,0.25,2,8,9.78,4198172
office0,voxel0p025,association,28,52,116,0.10714285714285714,0.057692307692307696,0.075,0.53735342935597,0.612359884197174,0.5178998575201206,0.48004007804672255,0.2,1,5,9.4,4200148
office0,voxel0p025,combined,28,52,133,0.17857142857142858,0.09615384615384616,0.125,0.6087820007845414,0.6728993727778623,0.5895630630372178,0.6052376266823218,0.3333333333333333,2,6,9.4,4201340
office0,voxel0p05,baseline,35,52,134,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.7165109034267912,0.5699704440443539,0.6117589667056009,0.2857142857142857,2,7,9.22,4165448
office0,voxel0p05,semantic,35,52,134,0.08571428571428572,0.057692307692307696,0.06896551724137931,0.5917570178861602,0.7165109034267912,0.5699704440443539,0.6117589667056009,0.2857142857142857,2,7,9.24,4166672
office0,voxel0p05,spurious,33,52,134,0.09090909090909091,0.057692307692307696,0.07058823529411765,0.6276210795762306,0.741027445460943,0.5699704440443539,0.6117589667056009,0.2857142857142857,2,7,8.75,4168896
office0,voxel0p05,geometry,37,52,152,0.13513513513513514,0.09615384615384616,0.11235955056179775,0.61382420610853,0.741027445460943,0.6444299403333493,0.8247257955314827,0.375,3,8,8.59,4167764
office0,voxel0p05,association,28,52,121,0.10714285714285714,0.057692307692307696,0.075,0.5668693544152683,0.6845344516490488,0.5724048265218216,0.6117589667056009,0.16666666666666666,1,6,9.47,4167752
office0,voxel0p05,combined,28,52,139,0.17857142857142858,0.09615384615384616,0.125,0.6382979258438397,0.7287691744438671,0.646864322810817,0.8247257955314827,0.2857142857142857,2,7,9.27,4166768
office0,voxel0p10,baseline,35,52,140,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.7816455696202531,0.5871810052084496,0.6207969366997727,0.2857142857142857,2,7,9.88,4160500
office0,voxel0p10,semantic,35,52,140,0.11428571428571428,0.07692307692307693,0.09195402298850575,0.6235815198429724,0.7816455696202531,0.5871810052084496,0.6207969366997727,0.2857142857142857,2,7,9.45,4160268
office0,voxel0p10,spurious,33,52,140,0.12121212121212122,0.07692307692307693,0.09411764705882353,0.661374339227395,0.8592233009708737,0.5871810052084496,0.6207969366997727,0.2857142857142857,2,7,8.99,4162500
office0,voxel0p10,geometry,37,52,158,0.16216216216216217,0.11538461538461539,0.1348314606741573,0.6439284647163251,0.8592233009708737,0.6613671007679252,0.8553082191780822,0.375,3,8,8.78,4162016
office0,voxel0p10,association,28,52,127,0.14285714285714285,0.07692307692307693,0.1,0.5926413681250601,0.749933183939475,0.5901076572506816,0.6207969366997727,0.3333333333333333,2,6,8.81,4158980
office0,voxel0p10,combined,28,52,145,0.21428571428571427,0.11538461538461539,0.15,0.6640699395536316,0.835267229254571,0.664293752810157,0.8553082191780822,0.42857142857142855,3,7,8.58,4161212
