gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,73,74,near,48,43,0
1,74,73,near,43,48,0
2,72,73,on,-1,48,0
3,69,74,on,-1,43,0
4,8,9,on,38,34,0
5,70,9,on,37,34,0
6,18,9,on,35,34,0
7,70,8,near,37,38,0
8,8,70,near,38,37,0
9,71,9,on,13,34,0
10,71,18,near,13,35,0
11,18,71,near,35,13,0
12,13,77,on,55,58,0
13,5,77,on,52,58,0
14,32,77,on,-1,58,0
15,5,13,near,52,55,0
16,13,5,near,55,52,0
17,87,93,on,54,-1,0
18,90,93,on,70,-1,0
19,92,10,on,-1,-1,0
20,35,55,in,42,-1,0
21,55,11,on,-1,40,0
22,6,7,on,2,15,0
23,45,2,on,5,8,0
24,65,2,on,32,8,0
