gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,cabinet,8,6848,1,,
1,3,book,-1,0,,,
2,4,book,18,128,1,,
3,5,pillow,52,418,1,,
4,6,lamp,2,580,1,,
5,7,table,15,574,1,,
6,8,pillow,38,720,1,,
7,9,chair,34,8453,7,,
8,10,table,-1,0,,,
9,11,table,40,3835,1,,
10,12,book,-1,0,,,
11,13,pillow,55,650,1,,
12,15,curtain,41,6829,4,,
13,17,window,-1,0,,,
14,18,pillow,35,734,1,,
15,19,curtain,46,4355,3,,
16,21,curtain,-1,0,,,
17,22,curtain,-1,0,,,
18,26,window,-1,0,,,
19,27,table,7,586,1,,
20,28,window,-1,0,,,
21,29,window,-1,0,,,
22,30,curtain,30,4299,3,,
23,32,pillow,-1,0,,,
24,34,curtain,-1,0,,,
25,35,plant,42,506,3,,
26,36,door,4,4329,1,,
27,38,window,-1,0,,,
28,39,chair,12,1709,3,,
29,40,lamp,22,1696,4,,
30,41,chair,0,1637,3,,
31,42,window,29,124,2,,
32,43,pot,56,294,1,,
33,45,vase,5,347,1,,
34,49,lamp,74,1281,6,,
35,50,curtain,-1,0,,,
36,55,stand,-1,0,,,
37,58,curtain,63,4364,4,,
38,59,book,65,33,17,,
39,61,window,-1,0,,,
40,62,window,-1,0,,,
41,65,plate,32,109,30,,
42,66,plate,-1,0,,,
43,69,pillow,-1,0,,,
44,70,pillow,37,630,1,,
45,71,pillow,13,664,1,,
46,72,pillow,-1,0,,,
47,73,chair,48,3740,3,,
48,74,chair,43,3714,3,,
49,75,basket,66,753,15,,
50,77,chair,58,7609,10,,
51,78,lamp,-1,0,,,
52,83,lamp,44,1516,9,,
53,85,book,-1,0,,,
54,87,lamp,54,477,1,,
55,90,book,70,125,1,,
56,91,window,-1,0,,,
57,92,book,-1,0,,,
58,93,table,-1,0,,,
