gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,2,cabinet,12,29508,1,,
1,3,book,-1,0,,,
2,4,book,7,492,2,,
3,5,pillow,-1,0,,,
4,6,lamp,3,3247,1,,
5,7,table,-1,0,,,
6,8,pillow,32,186,81,,
7,9,chair,33,39564,6,,
8,10,table,-1,0,,,
9,11,table,34,14284,2,,
10,12,book,-1,0,,,
11,13,pillow,54,2847,1,,
12,15,curtain,-1,0,,,
13,17,window,-1,0,,,
14,18,pillow,28,2658,1,,
15,19,curtain,-1,0,,,
16,21,curtain,-1,0,,,
17,22,curtain,-1,0,,,
18,26,window,-1,0,,,
19,27,table,24,243,53,,
20,28,window,-1,0,,,
21,29,window,-1,0,,,
22,30,curtain,-1,0,,,
23,32,pillow,22,4118,7,,
24,34,curtain,-1,0,,,
25,35,plant,43,1996,5,,
26,36,door,5,26062,1,,
27,38,window,70,311,16,,
28,39,chair,2,7632,2,,
29,40,lamp,26,4932,7,,
30,41,chair,0,6362,3,,
31,42,window,21,2793,1,,
32,43,pot,35,1413,1,,
33,45,vase,16,1782,2,,
34,49,lamp,-1,0,,,
35,50,curtain,-1,0,,,
36,55,stand,-1,0,,,
37,58,curtain,-1,0,,,
38,59,book,55,829,7,,
39,61,window,14,12128,13,,
40,62,window,-1,0,,,
41,65,plate,11,778,19,,
42,66,plate,-1,0,,,
43,69,pillow,41,2632,1,,
44,70,pillow,31,3704,1,,
45,71,pillow,1,2722,1,,
46,72,pillow,50,2389,1,,
47,73,chair,48,14127,2,,
48,74,chair,38,16769,2,,
49,75,basket,27,3780,6,,
50,77,chair,51,35738,8,,
51,78,lamp,-1,0,,,
52,83,lamp,-1,0,,,
53,85,book,-1,0,,,
54,87,lamp,52,2860,1,,
55,90,book,-1,0,,,
56,91,window,-1,0,,,
57,92,book,-1,0,,,
58,93,table,-1,0,,,
