gt_relation_index,subject_object_id,object_object_id,predicate,subject_pred_original_id,object_pred_original_id,hit_at_1
0,73,74,near,48,38,0
1,74,73,near,38,48,0
2,72,73,on,50,48,0
3,69,74,on,41,38,0
4,8,9,on,32,33,0
5,70,9,on,31,33,0
6,18,9,on,28,33,0
7,70,8,near,31,32,0
8,8,70,near,32,31,0
9,71,9,on,1,33,0
10,71,18,near,1,28,0
11,18,71,near,28,1,0
12,13,77,on,54,51,0
13,5,77,on,-1,51,0
14,32,77,on,22,51,0
15,5,13,near,-1,54,0
16,13,5,near,54,-1,0
17,87,93,on,52,-1,0
18,90,93,on,-1,-1,0
19,92,10,on,-1,-1,0
20,35,55,in,43,-1,0
21,55,11,on,-1,34,0
22,6,7,on,3,-1,0
23,45,2,on,16,12,0
24,65,2,on,11,12,0
