ap_minus_prevalence,auroc,average_precision,bottom20_error_rate,bottom20_errors,n,positives,prevalence,scale,scene,score,target,top20_error_rate,top20_errors,top20_n,top_bottom_ratio
0.04904234836951282,0.5675925925925926,0.7012162614129911,0.5,7,69,45,0.6521739130434783,0.025,room0,voxel_majority_entropy,sidecar_original_unified,0.6428571428571429,9,14,1.2857142857142858
-0.004761433781975133,0.5143518518518518,0.6474124792615031,0.5714285714285714,8,69,45,0.6521739130434783,0.025,room0,voxel_vote_entropy,sidecar_original_unified,0.6428571428571429,9,14,1.1250000000000002
0.03854189825134913,0.5319444444444444,0.6907158112948274,0.5714285714285714,8,69,45,0.6521739130434783,0.025,room0,voxel_mean_disagreement,sidecar_original_unified,0.6428571428571429,9,14,1.1250000000000002
-0.03162489398679691,0.4976851851851851,0.6205490190566814,0.42857142857142855,6,69,45,0.6521739130434783,0.025,room0,voxel_second_region,sidecar_original_unified,0.5,7,14,1.1666666666666667
0.08289838811527339,0.5981481481481481,0.7350723011587517,0.5,7,69,45,0.6521739130434783,0.025,room0,voxel_second_fraction,sidecar_original_unified,0.8571428571428571,12,14,1.7142857142857142
-0.06644715258117251,0.4574074074074073,0.5857267604623058,0.6428571428571429,9,69,45,0.6521739130434783,0.025,room0,fragmentation,sidecar_original_unified,0.35714285714285715,5,14,0.5555555555555556
-0.023884409309917976,0.4351851851851852,0.6282895037335603,0.7142857142857143,10,69,45,0.6521739130434783,0.025,room0,pair_conflict,sidecar_original_unified,0.6428571428571429,9,14,0.9
0.13154685722827686,0.7199074074074074,0.7837207702717551,0.35714285714285715,5,69,45,0.6521739130434783,0.025,room0,nonspatial_owner_label_entropy,sidecar_original_unified,0.7857142857142857,11,14,2.1999999999999997
-0.021873741803257407,0.47962962962962963,0.6303001712402209,0.6428571428571429,9,69,45,0.6521739130434783,0.025,room0,frozen_semantic_max,sidecar_original_unified,0.7142857142857143,10,14,1.1111111111111112
-0.0778079465349476,0.35277777777777775,0.5743659665085307,0.9285714285714286,13,69,45,0.6521739130434783,0.025,room0,frozen_combined_max,sidecar_original_unified,0.5714285714285714,8,14,0.6153846153846153
0.052623956111219394,0.5712962962962963,0.7047978691546977,0.5,7,69,45,0.6521739130434783,0.025,room0,framebalanced_majority_entropy,sidecar_original_unified,0.7142857142857143,10,14,1.4285714285714286
0.07583847634592955,0.5930555555555556,0.7280123893894078,0.42857142857142855,6,69,45,0.6521739130434783,0.025,room0,framebalanced_mean_disagreement,sidecar_original_unified,0.7142857142857143,10,14,1.6666666666666667
-0.02026374762952965,0.512962962962963,0.6319101654139486,0.5714285714285714,8,69,45,0.6521739130434783,0.025,room0,persistent_conflict_fraction,sidecar_original_unified,0.5714285714285714,8,14,1.0
-0.11109049401005733,0.32731481481481484,0.5410834190334209,0.7857142857142857,11,69,45,0.6521739130434783,0.025,room0,multi_owner_voxel_fraction,sidecar_original_unified,0.35714285714285715,5,14,0.4545454545454546
-0.0674429900973188,0.36481481481481476,0.5847309229461595,0.8571428571428571,12,69,45,0.6521739130434783,0.025,room0,mean_owner_entropy,sidecar_original_unified,0.5,7,14,0.5833333333333334
-0.13872548790455586,0.2675925925925926,0.5134484251389224,0.8571428571428571,12,69,45,0.6521739130434783,0.025,room0,foreign_owner_link_fraction,sidecar_original_unified,0.21428571428571427,3,14,0.25
0.04879954991961899,0.5324074074074074,0.7009734629630973,0.6428571428571429,9,69,45,0.6521739130434783,0.025,room0,semantic_mean,sidecar_original_unified,0.6428571428571429,9,14,1.0
-0.015552653301093233,0.5055555555555556,0.636621259742385,0.7142857142857143,10,69,45,0.6521739130434783,0.025,room0,combined_mean,sidecar_original_unified,0.5714285714285714,8,14,0.7999999999999999
