combined_score,geometry_gt,geometry_partition_5cm,map_label,object_index,original_unified,scene,sidecar_gt,strict_unified
0.45652173913043476,wall,,stool,0,True,room0,wall,True
0.855072463768116,table,,pillow,1,True,room0,rug,True
0.45652173913043476,ceiling,,stool,2,True,room0,ceiling,False
0.45652173913043476,,,lamp,3,True,room0,rug,True
0.9420289855072463,table,,end table,4,True,room0,rug,True
0.7681159420289855,cabinet,,closet door,5,True,room0,floor,True
0.45652173913043476,wall,,window,6,True,room0,wall,False
0.8840579710144928,wall,,toaster,7,False,room0,wall,False
0.7391304347826086,floor,,power outlet,8,False,room0,floor,False
0.8405797101449275,floor,,light switch,9,False,room0,floor,False
0.9710144927536232,undefined,,coffee kettle,10,True,room0,wall,False
0.9855072463768116,lamp,,book,11,True,room0,unknown,True
0.6376811594202898,ceiling,,cabinet,12,True,room0,ceiling,False
0.9855072463768116,rug,,poster,13,True,room0,rug,True
0.5652173913043478,floor,,closet door,14,False,room0,floor,False
0.927536231884058,floor,,sofa chair,15,True,room0,wall,False
0.7246376811594203,ceiling,,potted plant,16,True,room0,ceiling,False
0.9130434782608695,floor,,lamp,17,True,room0,rug,True
0.45652173913043476,ceiling,,power outlet,18,True,room0,ceiling,False
0.0,wall,,ceiling,19,True,room0,,False
0.9565217391304348,stool,,sofa chair,20,True,room0,,True
0.6811594202898551,unknown,,window,21,True,room0,unknown,False
0.7681159420289855,ceiling,,pillow,22,True,room0,ceiling,False
0.7246376811594203,ceiling,,sofa chair,23,True,room0,ceiling,False
0.7536231884057971,floor,,end table,24,False,room0,,False
0.9855072463768116,ceiling,,sofa chair,25,False,room0,unknown,False
0.9710144927536232,wall,,ceiling light,26,False,room0,,False
0.8985507246376812,ceiling,,paper bag,27,False,room0,ceiling,False
0.8260869565217391,table,,pillow,28,True,room0,table,True
0.7608695652173914,table,,pillow,29,False,room0,,False
0.9347826086956522,chair,,pillow,30,False,room0,,False
0.9347826086956522,chair,,pillow,31,True,room0,rug,True
0.9855072463768116,chair,True,pillow,32,False,room0,rug,False
0.7608695652173914,chair,,pillow,33,True,room0,rug,True
0.5289855072463768,lamp,,coffee table,34,True,room0,ceiling,True
0.8840579710144928,lamp,,cup,35,True,room0,ceiling,True
0.9130434782608695,blinds,True,sofa chair,36,False,room0,,False
0.6811594202898551,lamp,True,bottle,37,False,room0,,False
0.7101449275362319,blinds,,blinds,39,True,room0,,True
0.8840579710144928,blinds,True,pillow,40,False,room0,blinds,False
0.5362318840579711,rug,,lamp,42,False,room0,rug,False
0.0,wall,,ceiling,44,True,room0,,False
0.45652173913043476,chair,,coffee table,45,True,room0,,True
