best_duplicate_pair_score,combined_anomaly_score,connected_components_26,duplicate_conflict_score,evidence_coverage,evidence_scope,evidence_supported_voxels,fragmentation_rank,fragmentation_score,gt_dominant_fraction,gt_dominant_id,gt_dominant_label,gt_eligible_member_observations,gt_false_split_incident,gt_identity_error,gt_overlap_hist,gt_overmerge,gt_overmerge_cross_class,gt_overmerge_same_class,gt_second_fraction,gt_second_id,gt_second_label,gt_substantial_instances,gt_supported_fraction,gt_supported_voxels,has_association_evidence_error,has_mask_evidence_error,is_background,label_hist,label_vote_entropy,largest_component_fraction,major_connected_components_26,major_label_region_count,mean_seen_count,mean_voxel_disagreement,median_seen_count,member_observations,mixed_mask_fraction,mixed_mask_observations,nonspatial_label_score,num_detections,object_index,object_uid,object_voxels,owner_label_entropy,predicted_label,primary_evidence_label,primary_evidence_label_id,pure_member_observations,scene,second_evidence_label,second_evidence_label_id,second_label_largest_region_fraction,semantic_conflict_score,stable_evidence_voxels,voxel_majority_entropy,voxel_majority_second_fraction,voxel_majority_top_fraction,voxel_size_m,wrong_association_fraction,wrong_association_observations
0.0,0.5072463768115942,1,0.07246376811594203,1.0,final_members_only,90,0.5072463768115942,0.0,0.8555555555555555,57,wall,109,False,True,"[{""gt_id"": 57, ""gt_label"": ""wall"", ""pred_fraction"": 0.8555555555555555, ""voxels"": 77}, {""gt_id"": 25, ""gt_label"": ""floor"", ""pred_fraction"": 0.34444444444444444, ""voxels"": 31}, {""gt_id"": 50, ""gt_label"": ""blinds"", ""pred_fraction"": 0.26666666666666666, ""voxels"": 24}, {""gt_id"": 49, ""gt_label"": ""lamp"", ""pred_fraction"": 0.23333333333333334, ""voxels"": 21}, {""gt_id"": 31, ""gt_label"": ""wall-plug"", ""pred_fraction"": 0.16666666666666666, ""voxels"": 15}, {""gt_id"": 42, ""gt_label"": ""window"", ""pred_fraction"": 0.1111111111111111, ""voxels"": 10}, {""gt_id"": 58, ""gt_label"": ""blinds"", ""pred_fraction"": 0.022222222222222223, ""voxels"": 2}, {""gt_id"": 88, ""gt_label"": ""ceiling"", ""pred_fraction"": 0.022222222222222223, ""voxels"": 2}]",True,True,False,0.34444444444444444,25,floor,6,0.8777777777777778,79,True,True,False,"{""114"": 265, ""164"": 5464, ""172"": 38}",0.20550101650421823,1.0,1,1,64.07777777777778,0.04161502517830216,69.0,109,0.6605504587155964,72,0.6086956521739131,109,0,16e7132b-7232-4e5e-9c2e-8f00323bae27,90,0.26395581331281726,stool,stool,164,37,room0,,,0.0,0.2028985507246377,86,0.0,0.0,1.0,0.1,0.918918918918919,34
0.6561790807299079,0.7681159420289855,1,0.43478260869565216,1.0,final_members_only,56,0.5072463768115942,0.0,0.875,11,table,155,True,True,"[{""gt_id"": 11, ""gt_label"": ""table"", ""pred_fraction"": 0.875, ""voxels"": 49}, {""gt_id"": 77, ""gt_label"": ""sofa"", ""pred_fraction"": 0.6964285714285714, ""voxels"": 39}, {""gt_id"": 12, ""gt_label"": ""book"", ""pred_fraction"": 0.5, ""voxels"": 28}, {""gt_id"": 59, ""gt_label"": ""book"", ""pred_fraction"": 0.4642857142857143, ""voxels"": 26}, {""gt_id"": 43, ""gt_label"": ""pot"", ""pred_fraction"": 0.42857142857142855, ""voxels"": 24}, {""gt_id"": 54, ""gt_label"": ""undefined"", ""pred_fraction"": 0.35714285714285715, ""voxels"": 20}, {""gt_id"": 24, ""gt_label"": ""undefined"", ""pred_fraction"": 0.05357142857142857, ""voxels"": 3}, {""gt_id"": 86, ""gt_label"": ""blanket"", ""pred_fraction"": 0.05357142857142857, ""voxels"": 3}, {""gt_id"": 10, ""gt_label"": ""table"", ""pred_fraction"": 0.03571428571428571, ""voxels"": 2}, {""gt_id"": 22, ""gt_label"": ""blinds"", ""pred_fraction"": 0.03571428571428571, ""voxels"": 2}, {""gt_id"": 57, ""gt_label"": ""wall"", ""pred_fraction"": 0.03571428571428571, ""voxels"": 2}]",True,True,False,0.6964285714285714,77,sofa,8,0.9642857142857143,54,True,True,False,"{""1"": 35, ""125"": 4725, ""159"": 489, ""182"": 2, ""53"": 1784, ""58"": 3, ""92"": 7}",0.4315323838242884,1.0,1,3,125.80357142857143,0.20293783449722114,130.5,155,0.7806451612903226,121,0.5507246376811594,155,1,678798f6-0e44-48e9-bd6a-aa39a3edf8e1,56,0.17290430438335416,pillow,pillow,125,34,room0,couch,53,0.2222222222222222,0.7681159420289855,54,0.8383729377099397,0.26785714285714285,0.7321428571428571,0.1,0.5294117647058824,18
0.054843072551697625,0.5072463768115942,1,0.21014492753623187,1.0,final_members_only,103,0.5072463768115942,0.0,0.7475728155339806,88,ceiling,113,True,True,"[{""gt_id"": 88, ""gt_label"": ""ceiling"", ""pred_fraction"": 0.7475728155339806, ""voxels"": 77}, {""gt_id"": 57, ""gt_label"": ""wall"", ""pred_fraction"": 0.30097087378640774, ""voxels"": 31}, {""gt_id"": 68, ""gt_label"": ""vent"", ""pred_fraction"": 0.20388349514563106, ""voxels"": 21}, {""gt_id"": 42, ""gt_label"": ""window"", ""pred_fraction"": 0.04854368932038835, ""voxels"": 5}, {""gt_id"": 50, ""gt_label"": ""blinds"", ""pred_fraction"": 0.04854368932038835, ""voxels"": 5}, {""gt_id"": 52, ""gt_label"": ""undefined"", ""pred_fraction"": 0.038834951456310676, ""voxels"": 4}]",True,True,False,0.30097087378640774,57,wall,3,0.8543689320388349,88,True,True,False,"{""159"": 1, ""164"": 6782, ""172"": 34, ""48"": 25, ""70"": 82}",0.07488369750747291,1.0,1,1,67.22330097087378,0.017070664789896727,72.0,113,0.5663716814159292,64,0.5072463768115942,113,2,de9fde61-2b56-4f40-a0e6-545904ed15e8,103,0.13693863430190817,stool,stool,164,49,room0,,,0.0,0.14492753623188406,101,0.0,0.0,1.0,0.1,0.04081632653061224,2
0.0,0.5072463768115942,1,0.07246376811594203,1.0,final_members_only,57,0.5072463768115942,0.0,0.0,,,152,False,False,[],False,False,False,0.0,,,0,0.0,0,False,True,False,"{""156"": 216, ""92"": 5058}",0.2466566974572851,1.0,1,1,92.52631578947368,0.03286680159791758,111.0,160,0.4868421052631579,74,0.5797101449275363,160,3,7043cb82-a128-454a-b5b4-6852adbd54e6,57,0.23070995569147637,lamp,lamp,92,78,room0,,,0.0,0.15942028985507245,57,0.0,0.0,1.0,0.1,0.0,0
0.004509288675373566,0.9710144927536232,1,0.15942028985507245,1.0,final_members_only,78,0.5072463768115942,0.0,0.01282051282051282,11,table,532,False,True,"[{""gt_id"": 11, ""gt_label"": ""table"", ""pred_fraction"": 0.01282051282051282, ""voxels"": 1}]",False,False,False,0.0,,,0,0.01282051282051282,1,True,True,False,"{""1"": 1, ""117"": 19, ""125"": 6, ""128"": 16, ""131"": 1978, ""159"": 143, ""164"": 1947, ""172"": 576, ""174"": 1304, ""182"": 2, ""24"": 150, ""25"": 44, ""37"": 17, ""48"": 1590, ""53"": 84, ""56"": 48, ""58"": 3, ""60"": 217, ""70"": 4079, ""92"": 28}",0.6352731530181065,1.0,1,4,157.07692307692307,0.5056937398380102,132.0,533,0.631578947368421,336,0.8405797101449275,533,4,32f5de75-381d-4db0-91c7-c41d61dacf55,78,0.7369220250202839,end table,end table,70,196,room0,potted plant,131,0.23076923076923078,0.9710144927536232,78,0.7802690647737244,0.23076923076923078,0.5,0.1,1.0,196
0.47858217524129537,0.7246376811594203,1,0.35507246376811596,1.0,final_members_only,273,0.5072463768115942,0.0,0.6666666666666666,2,cabinet,193,False,True,"[{""gt_id"": 2, ""gt_label"": ""cabinet"", ""pred_fraction"": 0.6666666666666666, ""voxels"": 182}, {""gt_id"": 25, ""gt_label"": ""floor"", ""pred_fraction"": 0.5494505494505495, ""voxels"": 150}, {""gt_id"": 48, ""gt_label"": ""wall"", ""pred_fraction"": 0.24175824175824176, ""voxels"": 66}, {""gt_id"": 6, ""gt_label"": ""lamp"", ""pred_fraction"": 0.018315018315018316, ""voxels"": 5}]",True,True,False,0.5494505494505495,25,floor,3,0.9523809523809523,260,True,True,False,"{""40"": 27196, ""65"": 17581}",0.96647872614804,1.0,1,1,164.018315018315,0.3724522515251987,183.0,193,0.9637305699481865,186,0.9710144927536232,193,5,0e35b862-4869-4dca-ab87-1bbfd7a27854,273,0.9604214782515645,closet door,closet door,40,7,room0,door,65,0.003663003663003663,0.7246376811594203,273,0.034918705681419034,0.003663003663003663,0.9963369963369964,0.1,1.0,7
0.0,0.5072463768115942,1,0.07246376811594203,1.0,final_members_only,100,0.5072463768115942,0.0,0.7,48,wall,123,True,True,"[{""gt_id"": 48, ""gt_label"": ""wall"", ""pred_fraction"": 0.7, ""voxels"": 70}, {""gt_id"": 88, ""gt_label"": ""ceiling"", ""pred_fraction"": 0.5, ""voxels"": 50}, {""gt_id"": 40, ""gt_label"": ""lamp"", ""pred_fraction"": 0.09, ""voxels"": 9}]",True,True,False,0.5,88,ceiling,3,1.0,100,True,True,False,"{""107"": 13, ""123"": 8, ""19"": 284, ""198"": 11216}",0.0938531790266434,1.0,1,1,115.21,0.026455198095654938,115.0,123,0.9186991869918699,113,0.5362318840579711,123,6,443a301b-2335-4cae-909d-1568e5c9f3aa,100,0.15049803589376326,window,window,198,10,room0,,,0.0,0.14492753623188406,100,0.0,0.0,1.0,0.1,0.3,3
0.9072839315179794,0.9420289855072463,1,0.6304347826086957,1.0,final_members_only,15,0.5072463768115942,0.0,0.9333333333333333,48,wall,13,True,True,"[{""gt_id"": 48, ""gt_label"": ""wall"", ""pred_fraction"": 0.9333333333333333, ""voxels"": 14}, {""gt_id"": 47, ""gt_label"": ""undefined"", ""pred_fraction"": 0.06666666666666667, ""voxels"": 1}]",False,False,False,0.06666666666666667,47,undefined,1,0.9333333333333333,14,False,False,False,"{""146"": 19, ""157"": 14, ""158"": 7, ""174"": 64, ""175"": 91, ""196"": 29, ""23"": 1, ""29"": 464, ""46"": 172, ""47"": 112, ""60"": 149, ""67"": 1}",0.7161760243981898,1.0,1,3,74.86666666666666,0.4544063449138465,33.0,13,0.0,0,0.8985507246376812,13,7,3707df88-ffc3-4c08-a538-14ec8055a585,15,0.8175195311866703,toaster,toaster,175,13,room0,cabinet,29,0.3333333333333333,0.9420289855072463,15,0.9500685975366211,0.3333333333333333,0.4666666666666667,0.1,0.0,0
0.15770984883216202,0.6521739130434783,1,0.2318840579710145,1.0,final_members_only,6,0.5072463768115942,0.0,1.0,25,floor,150,True,True,"[{""gt_id"": 25, ""gt_label"": ""floor"", ""pred_fraction"": 1.0, ""voxels"": 6}]",False,False,False,0.0,,,1,1.0,6,False,False,False,"{""132"": 619, ""191"": 47, ""99"": 274}",0.7138365993379844,1.0,1,1,156.66666666666666,0.34141992253940984,157.0,150,0.0,0,0.9420289855072463,150,8,3ffc8638-920f-4cc0-af28-54796bcb0e25,6,0.8892881527272398,power outlet,power outlet,132,150,room0,,,0.0,0.6521739130434783,6,0.0,0.0,1.0,0.1,0.0,0
0.1821824084462365,0.8115942028985508,1,0.2463768115942029,1.0,final_members_only,14,0.5072463768115942,0.0,1.0,25,floor,73,True,True,"[{""gt_id"": 25, ""gt_label"": ""floor"", ""pred_fraction"": 1.0, ""voxels"": 14}]",False,False,False,0.0,,,1,1.0,14,False,False,False,"{""132"": 83, ""141"": 230, ""173"": 14, ""191"": 71, ""99"": 569}",0.694303489373529,1.0,1,1,69.07142857142857,0.4309332301856438,73.0,73,0.0,0,0.8115942028985508,73,9,ed442ce2-acfd-4166-b5e9-3832c23f1fe4,14,0.6563356569694827,light switch,light switch,99,73,room0,,,0.0,0.8115942028985508,14,0.0,0.0,1.0,0.1,0.0,0
