gt_index,gt_object_id,gt_class,pred_original_id,matched_points,main_native_clip_ft_rank_1based,scene_graph_object_tag_rank_1based,llava_llm_possible_tags_max_rank_1based
0,4,chair,10,1119,2,,
1,7,chair,2,7516,2,,
2,9,chair,51,7624,2,,
3,12,table,0,1003,6,,
4,15,curtain,-1,0,,,
5,16,door,29,361,29,,
6,20,curtain,44,4972,26,,
7,21,lamp,-1,0,,,
8,22,plant,62,785,1,,
9,23,stand,37,1645,50,,
10,37,lamp,-1,0,,,
11,57,clock,23,99,1,,
12,58,table,55,2591,2,,
13,61,chair,3,1699,2,,
14,66,screen,22,3807,1,,
