predicted_index,gt_instance_id,voxel_iou,purity,coverage,bbox_iou,center_distance_m,semantic_eligible,semantic_consistent
0,49,0.22093023255813954,0.22093023255813954,1.0,0.1087912087912088,0.13952951880462655,True,False
1,12,0.2231404958677686,0.421875,0.32142857142857145,0.2202247191011236,0.3135903135938606,True,False
2,68,0.07741116751269035,0.15681233933161953,0.13260869565217392,0.11260285838025119,0.9036931838456591,False,False
4,2,0.34573304157549234,0.6422764227642277,0.4281842818428184,0.04352709912945802,0.5642624292204069,True,True
5,48,0.06393400360917763,0.6613333333333333,0.06609808102345416,0.005136737028179266,1.1057011333367104,False,False
9,47,0.08273894436519258,0.6105263157894737,0.08734939759036145,0.0715909090909091,0.5195192763385137,False,False
11,40,0.266553480475382,0.359816653934301,0.5069967707212056,0.1678714859437751,0.30553495440203116,True,False
12,9,0.2468525179856115,0.5268714011516314,0.317157712305026,0.12372634643377002,0.7954426997331034,True,False
13,25,0.19130661114003122,0.8323895809739524,0.1989713048186248,0.0277518220893291,0.8000014570436801,False,False
14,32,0.12786885245901639,0.2867647058823529,0.1875,0.10366826156299841,0.49019708495027325,True,False
16,60,0.2,0.24639841033283658,0.5150571131879543,0.10398050365556458,0.7528396422354575,False,False
18,33,0.19198287141667658,0.4829443447037702,0.2416529420571942,0.08297919928427645,2.768833987859978,False,False
19,39,0.02527075812274368,1.0,0.02527075812274368,0.006611570247933884,0.252208051877377,True,True
20,0,0.08402662229617304,0.9588607594936709,0.08433064291678263,0.0408328870279306,0.607640764828781,False,False
23,75,0.19254658385093168,0.8611111111111112,0.1987179487179487,0.25390625,0.09864403659931759,True,False
25,61,0.09107635694572216,0.30275229357798167,0.11525029103608847,0.016051364365971106,1.224945404688484,True,False
27,43,0.46863468634686345,0.6864864864864865,0.596244131455399,0.6274509803921569,0.04738357386614286,True,False
28,55,0.17543859649122806,0.5660377358490566,0.20270270270270271,0.1009009009009009,0.288974567071516,True,False
29,35,0.038834951456310676,0.22857142857142856,0.0446927374301676,0.15,0.3015751815208867,True,False
30,72,0.2829076620825147,0.6260869565217392,0.3404255319148936,0.28169014084507044,0.2796164886658292,True,True
31,73,0.01543026706231454,1.0,0.01543026706231454,0.003157894736842105,0.748598098747609,True,False
32,11,0.3115264797507788,0.3501750875437719,0.7383966244725738,0.35714285714285715,0.3681193869962594,True,False
33,78,0.4471264367816092,0.5166002656042497,0.7687747035573123,0.4090909090909091,0.19333894773940324,True,False
37,19,0.8380355276907001,0.9828431372549019,0.8504772004241782,1.0,0.013294216779417826,True,True
38,15,0.35857238158772514,0.35857238158772514,1.0,0.37908037908037906,0.4039591569714124,True,True
43,63,0.28046473925965953,0.2870178349232684,0.9247216035634744,0.1931517376825207,1.2432954856075378,False,False
44,21,0.13755020080321284,0.7210526315789474,0.14528101802757157,0.022130013831258646,0.5517346261198254,True,False
45,74,0.1930080116533139,0.5786026200873362,0.2245762711864407,0.05589519650655022,0.6896221819042267,True,False
46,64,0.013888888888888888,0.025,0.030303030303030304,0.010752688172043012,0.542513303167642,False,False
53,26,0.007619047619047619,0.6666666666666666,0.0076481835564053535,0.000410913872452334,0.9144081411646096,True,False
54,83,0.21585677749360613,0.9976359338061466,0.21596724667349027,0.12129804662885948,0.47811991249222335,True,False
56,38,0.13395638629283488,0.3651804670912951,0.1746192893401015,0.020068640567738934,1.0900794250508283,True,False
58,86,0.2448210922787194,0.7065217391304348,0.27253668763102723,0.07542662116040956,0.45029521727380684,False,False
60,81,0.006235385814497272,1.0,0.006235385814497272,0.0004177109440267335,1.4963770099173905,False,False
61,22,0.06816059757236227,0.9358974358974359,0.06848030018761726,0.02535496957403651,0.5573246589177122,True,False
62,51,0.008849557522123894,0.016129032258064516,0.019230769230769232,0.023411371237458192,0.3914323105514348,False,False
63,88,0.26382743362831856,0.7479001007951618,0.28957981006894756,0.6657097981808062,1.060369741663836,False,False
64,13,1.0,1.0,1.0,1.0,0.0,True,True
